1;Apartment on Masarykovo Square, Hradec Králové
2;
3;Stylový byt v srdci Hradce Králové
4;Velké studio na Velkém náměstí, Hradec Králové
5;Luxusní studio na Velkém náměstí, Hradec Králové
6;Podkrovní studio na Velkém náměstí, Hradec Králové
7;Romantické studio v podkroví na Velkém náměstí, Hradec Králové
8;Prostorný byt v centru u řeky, Hradec Králové
9;Velký byt 3+kk Klicperova, Hradec Králové
10;Luxusní apartmán 3KK u náměstí, Hradec Králové
11;Moderní podkrovní byt 2KK u náměstí, Hradec Králové
12;Moderní velký byt 2+kk u soutoku, Hradec Králové
13;Slunný byt v klidné části Hradce Králové
14;Velký 2KK, zahrada, parkování zdarma, Hradec Králové
15;Moderní apartmán u Velkého náměstí 1, Hradec Králové
16;Stylový apartmán u Velkého náměstí 2, Hradec Králové
17;Plně vybavený apartmán u Velkého náměstí 3, Hradec Králové
18;
19;
20;
50;
51;
52;